height, algo, pow_hash, timestamp, bits
195, lyra2rev2, 000307e77e08075f6930222c7f2f23b31658af6e4f5808a82b3aef9286f38b54, 1545976999, 1f0fbf83
196, scrypt, 000dbe3461d15f23032002ed4c42467efb94fae7034256860e779fff0d4ed67d, 1545977149, 1f0eb0aa
197, lyra2rev2, 00068b30db78a1cb22db15d13a1cd6b16a70eeee39b467e71bc9827c4aca2113, 1545977209, 1f12e21a
198, cryptonight7v2, 000a5d5a7bf51bcf510e64d26fbfcd391a94196eb7b09be11f40094ff7b2d254, 1545977254, 1f161dd1
199, x11, 0014b3f410e32c715c649b76375ce641ef1f221f3d286e5549d15b5a1a0923ad, 1545977269, 1f15454e
200, scrypt, 000de8ad042445c3edd188b8e09a2624ccffa5cfa74051921a456f7662e22528, 1545977389, 1f146860
201, cryptonight7v2, 0000eb2ecc53620a36d921a132ca1a82538f382212b8e1c45132ef74944c6a42, 1545977449, 1f19db01
202, keccak, 00130313affff7090ae2787c670987f95d97e7cdd864a95aee31997a21fdbada, 1545977494, 1f1b7997
203, sha256d, 0002abf8d17a28a311b65becdc9aa942dd526589306636c596a07e9fd0b73643, 1545977539, 1f1d3aba
204, lyra2rev2, 0016406e1797f724a0b543602270a1853868098362790aa983a49fe960eca72d, 1545977554, 1f274f1c
205, x11, 000db47356a087085d42f912dbbbaa3d971b613e007e8618bb640025d52e6acd, 1545977569, 1f269ff4
206, stribog, 00181044919cc4414ebb2fbdf164346d5ba3395389596f655c18069bab07debf, 1545977614, 1f25dc74
207, sha256d, 001eca85ffc482c1e45b405cbdcdbda1b40f47d73c78fbd142b79bdb1e7d8570, 1545977629, 1f2d4ac2
208, x11, 0022dd9a92bccc0aba72182ea418df35015fb34072130b38f76a8dcdf580c2eb, 1545977644, 1f2c67bd
209, keccak, 002e72e44f172965cd9a69877503ce78fa7fc0baca71da4fc07af02db448cae6, 1545977689, 1f30f765
210, keccak, 0034e0ad9cf056be124d233088ee67ad5319a0231236f585bb01124e9e99263c, 1545977719, 1f3620f4
211, skein, 00223f146eff41625bd268b907d9a4eb4e8907899bc11e0e2df8ca8b0064ad51, 1545977809, 1f351589
212, sha256d, 00018ac3de57152b475e6848d682825db9123c3278bbe7b9a9f4bfe0c07bc8d8, 1545977839, 1f40167d
213, x11, 003698a0d20fdfb5e480f637b95810d582c9e5efd572bc55583238148970b6e9, 1545977854, 1f3f7862
214, keccak, 001e3cbf12d28d32eecd2361758d6bb0c2d7a6ec9edc9910ad15ec458fdb7402, 1545977869, 1f4415ae
215, cryptonight7v2, 001a691e89098427cca584c48d96715b3f4d5309e8ab73a403bf414e2a15fc6b, 1545977914, 1f56508f
216, stribog, 00519e78e10485ea2ef30b55eb197fe2bdcac8f5e7882466f7d3454b9a6aa742, 1545977929, 1f554afa
217, skein, 004bf24a8f0285d15c2a68c041adbfb302610e27e30c15099c9a3220d15d3262, 1545977959, 1f5416ea
218, stribog, 003712b4092fb4a20ee457aeaaf347fa18260a6f15acb6349d559408dbbbc098, 1545977989, 1f52e89b
219, skein, 00223c98ae96a26b8ccd409b321d248c3c681cffc707a065e4601a8b40b9edf0, 1545978004, 1f51bfea
220, keccak, 003b9bc43d524723cfbba4206f8952b03a670dc5999d9f36605230d9ded13272, 1545978034, 1f54f1ae
221, blake14lr, 004002e7e325634eb21b06186d2ce959bd9148e2a6021ff2265aeaad5974eb4d, 1545978042, 1f5392d6
222, sha256d, 001adbda203861243acf91380237370b09dc435dac07f37be70f74263e397f58, 1545978109, 1f617e51
223, x11, 004fece9b0d2ac992a78277b05ab78af3505f5257a15c1db9c77ebfe5b03fc55, 1545978124, 1f6027c0
224, cryptonight7v2, 0061878afdfeaf74d79f511f05c9e7255eaf5ecbef3065dd84122b1ff2cf191e, 1545978154, 1f7aafc2
225, cryptonight7v2, 00180b940d7a9a4cd16c237a53e7ca8fcd40e4b58e64c35bc6b159eff634facb, 1545978184, 20009b44
226, lyra2rev2, 00b211e538de59b84a7d26080d18a84bfe05708f5469742bc132b71afc50a115, 1545978199, 2000ce95
227, lyra2rev2, 010768bbe76b0e5c3098b4b334bc9083c24eb84c9e007253fd8c6d70619dac6b, 1545978204, 20011b75
228, skein, 011353f5508c61883c14c58ec6f8be300ddaa7a628709c738583eaa676d2b8f2, 1545978214, 2001155a
229, skein, 000f62f781897c428aedf9104df0738865e7ee5220f6655a636854921b3c4016, 1545978218, 20010e97
230, keccak, 009561535c066fad3b7a0a58fcbc1c9fea1914794fc72270b2f731b120a5bf4b, 1545978229, 20011077
231, keccak, 00e046804e8360bdec9801967db2cbfcc3a2ae78cb972439c189d9feef02e3eb, 1545978234, 20010818
232, cryptonight7v2, 001818c36d751518411cbbc7124686f9fafa1661ad83de199f770116cbcd479f, 1545978244, 20013b54
233, skein, 00a5662c03e2558a4ae00aba43167cf8b81dcc70729f1fe1e9a32cdc0f89ba38, 1545978259, 20012fad
234, keccak, 00faa590806ac8ac8ebb024a9eb8c3f0068bf51f5fad33a40e57e4a9a2014b43, 1545978266, 200123da
235, keccak, 0042c4c66ba9fe998aaac1c35992c4a1c53473d692d3699e6aafddeb66d4f1e6, 1545978274, 20011793
236, stribog, 008a8587f2b55983d515c8a5d1929bca400be6a8f2afd3e6e31fe1c9e3aa6189, 1545978289, 20010afd
237, stribog, 008ceba7023b2001ee68a4aa14ab24c774b80522f35d2e20833ece1167edc5da, 1545978293, 2000fe73
238, stribog, 0034de73b7f260f7b130c034796c187f1ff8b850cd636e7d88eb8e8e08c259ad, 1545978304, 2000f19e
239, x11, 00043a83bc7d86682b44a73e837b7860278aaabb562c3f9bb40d38b0614f08cc, 1545978319, 2000e4d6
240, cryptonight7v2, 00a68c5e19370ac8ea01f24ba7ffbce06c1cf9e5e43d494238b870e8062a2101, 1545978334, 2001008d
241, blake14lr, 00a6785541a4751c1c9f1d8212ef788189e8e9221ff45dea5350c01f7c2319f1, 1545978349, 200116e6
